row,regime,dimension,verdict,inapplicability,cell_cite,evidence_basis
J2S,"US insured national bank, non-deposit stablecoin (FDI Act receivership) [SoFiUSD]",D5,FAIL,no,IL 1174; 12 CFR 9 inapplicable,"No operative legal constraint reaches the reserve: OCC IL 1174 imposes none; 12 CFR Part 9 does not attach absent the disclaimed fiduciary capacity; GENIUS Sec. 4(a)(2) (no pledge, rehypothecation, or reuse) is dormant and conditioned on a permitted-issuer status the issuer does not hold. The published Deloitte attestations describe the reserve held in a BitGo Trust Company, Inc. segregated fiduciary account for the benefit of holders (not deployed as the bank's own balance-sheet assets), and the SOFID Terms carry an anti-encumbrance covenant, but both are contractual and operational rather than a statutory or binding-regulatory prohibition, and the covenant is unsecured, liability-capped, and repudiable, so neither lifts the fail-grade absence under the D5 ladder; the J2xD5 Fail* inapplicability premise does not carry. Fires the Q1a cap (the contractual cure resolves the product verdict to Ambiguous, not Fail)."
J2S,"US insured national bank, non-deposit stablecoin (FDI Act receivership) [SoFiUSD]",D6,PARTIAL,no,1821(d); 1821(e) repudiation,"Receiver powers are statutorily enumerated and bounded with a claims process and judicial review (1821(d)) and distribution is in money, so the bounded-powers leg of J2xD6 carries; short of pass because the receiver may disaffirm or repudiate any contract (1821(e)(1)) with liability limited to actual direct compensatory damages (1821(e)(3)(A)), converting the par-redemption undertaking into a fixed dividend claim, a power the issuer's own Risk Disclosure flags, and a substitute-issuer right operates without holder consent."
J2S,"US insured national bank, non-deposit stablecoin (FDI Act receivership) [SoFiUSD]",D7,PARTIAL,no,FDIA record; no in-class,"Zero in-class precedent: no insured bank issuing a non-deposit stablecoin has entered receivership and the bank-issued-token holder cohort record is empty; but the adjacent class is real, modern, and completed, unlike J3FxD7's archaic record (hundreds of FDIA receiverships with documented claims and dividend machinery), with the caveat that the relevant claimant class (clause (iii) general creditors, subordinated below the entire deposit book) carries no recovery-fraction record. Fail defensible; partial on the modern-machinery strength."
J3,US trust / MTL + GENIUS layer [USDC],D1,PARTIAL,no,GENIUS 10(c) dormant; NYDFS 2025,"GENIUS Sec. 10(c)(1) segregation and Sec. 11(e) estate exclusion are enacted but not effective (Sec. 20; no final rules as of 2026-06-11); the operative layer is trust-company structure plus the NYDFS updated custody guidance (2025-09-30), regulator guidance whose insolvency effectiveness is untested; structurally, Circle discloses (424(b)(4), 2025-08-15) that about 87 percent of USDC reserves sit in the Circle Reserve Fund (Rule 2a-7 government MMF, BNY-custodied) with the cash remainder in FBO-titled accounts at GSIBs, segregation-supporting titling whose insolvency effectiveness is exactly what the issuer's own risk factor concedes is judicially untested. Ruling Q3(a): score the operative regime; re-score trigger registered."
J3,US trust / MTL + GENIUS layer [USDC],D2,PARTIAL,no,GENIUS 11 dormant; Celsius,"GENIUS Sec. 11(a) ratable holder priority and new 11 U.S.C. 507(e) are enacted but dormant and academically contested (internal-contradiction critique); pre-effectiveness, holders are unsecured creditors of a money transmitter or trust company, with Celsius (647 B.R. 631) illustrating recharacterization exposure of terms-based claims; Circle's own prospectus risk factor concedes courts have not considered reserve-asset treatment in a stablecoin issuer insolvency and that a court could find the reserves property of the bankruptcy estate, with automatic-stay delay even on the holder-favorable reading."
J3,US trust / MTL + GENIUS layer [USDC],D3,PASS,no,Ch.15; 3AC (ECF 47),"Chapter 15 in force with directly relevant crypto-asset practice: recognition of Three Arrows Capital's BVI liquidation as foreign main proceeding (order ECF No. 47, 2022-07-28, Case No. 22-10920 (MG) Bankr. S.D.N.Y.)."
J3,US trust / MTL + GENIUS layer [USDC],D4,PARTIAL,no,trust charter; GENIUS dormant,"A product-class statutory insolvency layer exists by enacted statute (GENIUS Sec. 11, amending Bankruptcy Code 101/362/507/541/1109) but is not in force; today's holder-level protections are structural (trust charters, segregated accounts) and guidance-based, with regulator intervention powers. Flips to pass on the same evidence at the Sec. 20 date."
J3,US trust / MTL + GENIUS layer [USDC],D5,PASS,no,"23 NYCRR 200.9(b),(c)","Binding regulatory prohibition, verified against primary text 2026-06-11: 23 NYCRR 200.9(c) bars a licensee from selling, transferring, assigning, lending, hypothecating, pledging, or otherwise using or encumbering assets held on behalf of another person except at that person's direction (customer-direction exception preserves pass under the adopted D5 ladder; the Singapore reg 18C(1)(c) parallel), and 200.9(b) imposes a same-type-and-amount coverage requirement; the NYDFS 2025 custody guidance bars use of customer assets as collateral; Circle's SEC-filed prospectus (424(b)(4), 2025-08-15) characterizes the MTL and BitLicense/Virtual Currency License regulations as prohibiting rehypothecation of reserve assets held for the benefit of holders. Reach caveat documented: whether 200.9 reaches an issuer's own reserve pool is the same characterization question as the Singapore reserve-side gap; graded consistently with J9xD5. GENIUS Sec. 4(a)(2) statutory prohibition remains dormant. Re-graded from partial: the binding regulatory prohibition basis is surfaced by the Circle prospectus."
J3,US trust / MTL + GENIUS layer [USDC],D6,PARTIAL,no,362(d)(5) dormant; Celsius/Voyager,"Once effective, GENIUS channels redemption into court-supervised ratable distributions on a 14-day best-efforts clock (new 362(a)(9), (d)(5)); pre-effectiveness, chapter 11 practice converted holder claims into different instruments (Celsius: crypto plus Ionic Digital equity; Voyager: USDC substitution), bounded only by general plan-confirmation law."
J3,US trust / MTL + GENIUS layer [USDC],D7,PARTIAL,no,Celsius 72.5%; Voyager ~35%,"No stablecoin issuer has failed; adjacent-class precedent is completed but slow, partial, and litigated: Celsius custody settlement returned 72.5 percent (order ECF 2291, 2023-03-21); Voyager initial recovery approximately 35 percent (confirmation ECF 1159, 2023-03-08); Celsius emerged 2024-01-31 distributing over $3B."
J3F,"OCC uninsured national trust bank (J3 federal layer only) [USD1, PYUSD]",D1,PARTIAL,no,GENIUS 10(c) dormant; FBO trust,"Under the federal-layer (J3F) derivation rule, the dormant-GENIUS leg scores in the issuer's own right (GENIUS Sec. 10(c) segregation enacted but not effective; Sec. 20; no final rules as of 2026-06-12). The operative layer is the trust-bank structure: the issuer's terms state the fiat reserve is held in accounts segregated from the issuer's own assets, and the Crowe LLP examination-level attestation series describes a segregated qualified trust for the benefit of USD1 holders, while the same terms disclaim any holder security or property interest in the reserve and the OCC conditional-approval letter records the Reserve Assets on the bank's own balance sheet in granting capital-treatment relief under 12 CFR 3.1(d). Segregation-supporting titling whose insolvency effectiveness is unreconciled and untested; no published analysis addresses holder treatment in a 12 CFR Part 51 receivership. PYUSD joined the row 2026-06-12 on parallel facts with the segregation-supporting layer stronger at terms level: the Paxos US Dollar-Backed Stablecoin Terms (Last Modified 2025-12-12) covenant that reserve dollars will always be held in segregated accounts apart from corporate funds for the benefit of holders, carry an in-terms bankruptcy-remote representation, and contain no property-interest disclaimer, while the Paxos OCC letter (Charter 25379) records the same unreconciled recital pair (Reserve Assets held in custody and segregated from proprietary assets; held on PTC's balance sheet under 12 CFR 3.1(d) relief); equally untested in a Part 51 receivership."
J3F,"OCC uninsured national trust bank (J3 federal layer only) [USD1, PYUSD]",D2,PARTIAL,no,GENIUS 11 dormant; no NDP,"Under the federal-layer (J3F) derivation rule, GENIUS Sec. 11 ratable holder priority is enacted but dormant; pre-effectiveness no statute fixes a USD1 holder's rank in an OCC receivership of an uninsured national trust bank (national depositor preference, 12 U.S.C. 1821(d)(11), does not reach a no-deposit institution), and claim rank turns on the unresolved channel question between an in-kind fiduciary or custodial claim and a general unsecured money claim (12 CFR 51.7(b), 51.8(b)): the FBO trust titling is unreconciled with the terms' no-property-interest clauses and no published receivership-treatment analysis exists. The same unresolved channel question holds for PYUSD: the Paxos terms affirmatively record holder interests (no disclaimer), strengthening the in-kind fiduciary or custodial-claim reading, but no statute fixes rank and no published receivership-treatment analysis exists for either issuer."
J3F,"OCC uninsured national trust bank (J3 federal layer only) [USD1, PYUSD]",D3,FAIL,no,109(b)/1501(c); 12 CFR 51,"As in J2, the issuer is excluded from the Bankruptcy Code as a bank (11 U.S.C. 109(b)(2)) and from Chapter 15 (1501(c)(1)); the operative forum is OCC receivership under the National Bank Act (12 U.S.C. 191-200; 12 CFR Part 51), which contains no foreign-recognition or coordination provision (the 2016 final rule and its preamble contain zero foreign, cross-border, or comity references, and the preamble records no court opinion finding an uninsured national bank Code-eligible). The leg that lifted J2 to PARTIAL is absent: the regime records no coordination practice of any kind, the OCC having appointed no uninsured-bank receiver since 1933. Inbound Chapter 15 recognition of foreign affiliate proceedings remains available in the jurisdiction but does not reach the holder's claim against the bank, which resolves only in the domestic ratable-distribution process (12 U.S.C. 194)."
J3F,"OCC uninsured national trust bank (J3 federal layer only) [USD1, PYUSD]",D4,PARTIAL,no,trust charter; Condition 3,"Under the federal-layer (J3F) derivation rule, a product-class statutory insolvency layer exists by enacted statute (GENIUS Sec. 10(c) segregation; Sec. 11 holder priority) but is not in force; the interim structural layer is the charter stack itself: OCC-supervised uninsured national trust bank (Charters 25366 and 25379), conditional-approval condition requiring conformance of its stablecoin activities with the GENIUS Act and any implementing regulations (verbatim in both letters; the Paxos Condition 2 verified 2026-06-12), and a dedicated receivership regime at 12 CFR Part 51. Flips toward pass on the same evidence at the Sec. 20 date; the ruling-3 re-score trigger extends to this row."
J3F,"OCC uninsured national trust bank (J3 federal layer only) [USD1, PYUSD]",D5,FAIL,no,no operative constraint,"Under the federal-layer (J3F) derivation rule, no verified operative rehypothecation constraint reaches the issuer. 23 NYCRR 200.9 and the NYDFS guidance layer are entity-scoped to NYDFS-supervised issuers and do not reach this charter stack (the NYDFS-chartered BitGo affiliate is not the issuer and holds no attested reserve custody); GENIUS Sec. 4(a)(2) is dormant; the OCC fiduciary-account rules (12 CFR Part 9) are of unanalyzed applicability to the reserve trust; the contractual FBO titling is unreconciled with the terms' no-property-interest clauses. A fail-grade absence of constraint, not an affirmatively permissive regime; fires the Q1a cap on the product verdict. The same absence holds for PYUSD post-conversion (NYDFS anchors entity-scoped away; consummation evidenced by the OCC active trust-bank list of 2026-05-31; GENIUS Sec. 4(a)(2) dormant; 12 CFR Part 9 of unanalyzed applicability, posed as Question 165 in the OCC's own GENIUS NPRM; no reserve-management condition in the Paxos letter), with the contract layer stronger than BitGo's but carrying no express no-pledge or no-lend covenant (search-negative) and contemplating repo deployment, so contractual-only and unable to lift the fail-grade absence."
J3F,"OCC uninsured national trust bank (J3 federal layer only) [USD1, PYUSD]",D6,PARTIAL,no,12 USC 194; 12 CFR 51.8,"Distribution form in the operative forum is statutorily money and ratable: 12 U.S.C. 194 requires ratable dividends 'of the money' on claims proved or adjudicated, remainder to shareholders; 12 CFR 51.8(a) implements ratable dividends per the 51.5 priority, and the rule's preamble records the OCC reading that the ratable-payment statute supports no distribution distinctions between customer and general creditor claimants (81 FR 92594). No bridge, plan, or exchange machinery exists, so the chapter 11 practice that converted holder claims into different instruments (Celsius; Voyager) is structurally unavailable in the forum the issuer's own approval letter names (12 CFR 51). Short of pass on four verified legs: dividend timing is 'periodically, at the discretion of the OCC' (51.8(c)) with no statutory clock; the OCC has not appointed an uninsured-bank receiver since shortly after the FDIC's creation (81 FR 92594); the holder's channel is unresolved between an in-kind direct claim for fiduciary or custodial assets (51.7(b); 51.8(b), turning on book designation the D1/D4 balance-sheet recital and no-property-interest terms leave unreconciled) and a general unsecured money claim; and the GENIUS overlay is dormant, with Sec. 11(a) ratable holder priority (12 USC 5910) reaching 'any insolvency proceeding ... under Federal or State law' only at the Sec. 20 date, the 14-day channel (new 362(a)(9), (d)(5)) a title 11 amendment that does not reach this non-Code forum, and Sec. 11(g) naming the FDIC, NCUA, and State regulators but not the OCC."
J3F,"OCC uninsured national trust bank (J3 federal layer only) [USD1, PYUSD]",D7,FAIL,no,81 FR 92594; Part 51 untested,"Zero modern in-forum precedent: the Part 51 rulemaking preamble records that the OCC 'has not appointed a receiver for an uninsured bank since shortly after the Congress established the FDIC in response to the banking panics of 1930-1933' (81 FR 92594, 2016-12-20; rule effective 2017-01-19), that weakened trust banks have historically been rehabilitated or resolved without a receiver, and no Part 51 receivership is recorded as of 2026-06-12; the BitGo approval letter (2025-12-12) answers resolvability comments with capability language ('The OCC has the capability to resolve an uninsured national bank'), not precedent. The only in-forum record is pre-FDIC: 2,762 National Bank Act receiverships, nine decades remote, depository-bank, with no recovery-fraction record in the preamble; for era context, the FDIC documents depositor losses across all failed banks (1865-1934, state and national, not the national-bank receivership cohort alone) as equivalent to a one-third of one percent annual deposit assessment. The adjacent-class chapter 11 record grounding J3's partial (Celsius, Voyager) does not transfer because banks are excluded debtors (11 USC 109(b)(2), per J2xD3), and the FDI Act record (J2xD7) belongs to a different receiver and statute. Ratable-dividend machinery exists on paper (12 USC 194; 12 CFR 51.8, with the 51.8(b) fiduciary-asset carve-out) but has never produced a completed modern case; graded fail in parallel with J8xD7 (operative regime unused; fallback record archaic)."
J4,"Delaware LP / UCC 9 [OUSG, USDY (legacy)]",D1,PARTIAL,no,6 Del. C. 17-201(b),"Delaware statutory entity-shielding (the LP is a separate legal entity) places fund assets outside the manager's and GP's estates, but this is not customer-asset segregation in the licensing-regime sense; the note sub-posture's collateral IS estate property reached through a perfected security interest (priority, not segregation); separate-accounts arrangements are contractual."
J4,"Delaware LP / UCC 9 [OUSG, USDY (legacy)]",D2,PASS,no,17-804; 726(a)(6); 9-322,"Both sub-postures statutorily fixed and documented, at opposite ends: LP equity ranks last (6 Del. C. 17-804(a); 11 U.S.C. 726(a)(6); absolute priority 1129(b)(2)(B)(ii); 510(b) blocks upgrading), documented in OUSG materials; the USDY note holds first-priority perfected rank (9-322 first-to-file; lien retention in cram-down 1129(b)(2)(A)), documented with security agent (Ankura) disclosure (the OGM-primary title)."
J4,"Delaware LP / UCC 9 [OUSG, USDY (legacy)]",D3,PASS,no,Ch.15; 3AC config,"Chapter 15 in force with deep practice, including the exact configuration the migrated USDY issuer would present (BVI company, US assets and agents): Three Arrows recognition (ECF 47, 2022-07-28)."
J4,"Delaware LP / UCC 9 [OUSG, USDY (legacy)]",D4,FAIL,no,no tokenized-note statute,"No statute provides insolvency protections specific to tokenized notes or tokenized LP funds; holder-level protections (bankruptcy-remote SPV, security agent empowered to liquidate on default) are structural and contractual. The one product-specific statutory layer (GENIUS payment-stablecoin priority in 507) does not reach yield-bearing notes or LP interests."
J4,"Delaware LP / UCC 9 [OUSG, USDY (legacy)]",D5,PARTIAL,no,9-322 backstop (note); LP fails,"Sub-posture split (adopted ruling Q6(a)): the secured-note sub-posture earns partial because UCC 9-322 first-to-file priority means later re-pledging cannot prime the noteholders' perfected lien (statutory harm backstop), while the act-of-repledge constraint is contractual and the security agreement non-public; the LP sub-posture fails (6 Del. C. 9-207(c)(3) affirmatively permits repledge by a secured party; constraints contractual only). Product derivations use the applicable sub-posture."
J4,"Delaware LP / UCC 9 [OUSG, USDY (legacy)]",D6,PARTIAL,no,1129 bounds,"Chapter 11 cram-down can compel instrument exchange without consent, but statutorily bounded (best-interests floor 1129(a)(7); lien retention or indubitable equivalent 1129(b)(2)(A); absolute priority). Product triggers are pre-agreed and disclosed (USDY Event of Default mandating collateral liquidation). Compulsion outside pre-agreed triggers keeps this at partial."
J4,"Delaware LP / UCC 9 [OUSG, USDY (legacy)]",D7,PARTIAL,no,Art. 9 practice; 3AC,"No tokenized-note or tokenized-LP insolvency has completed; adjacent precedent is deep (Article 9 enforcement is among the most practiced US commercial-law tracks; Delaware Chancery receivership machinery), and the crypto-fund channel (Three Arrows) was offshore-led, slow, and litigated."
J5,BVI fund (Insolvency Act 2003) [BUIDL],D1,PARTIAL,no,MFR reg 7; s.207(4),"Recognised funds must at all times have a functionally independent custodian (Mutual Funds Regulations reg 7, FSC-waivable) and trust-held assets are excluded from a BVI company's insolvency estate (Insolvency Act s.207(4)), but there is no product-specific statutory trust over fund assets; insolvency effectiveness against a custodian or manager estate rests on general trust and property law."
J5,BVI fund (Insolvency Act 2003) [BUIDL],D2,PARTIAL,no,s.197/207; Somers Dublin,Statute fixes the waterfall (s.207) and subordinates member-character claims including redemption proceeds (s.197); BVI Court of Appeal authority places redeemed-but-unpaid members as deferred creditors (Somers Dublin v Monarch Pointe); Privy Council fixed NAV-certificate finality (Fairfield Sentry v Migani [2014] UKPC 9). Rank determinable only via the redemption-creditor characterization analysis the rubric names as partial.
J5,BVI fund (Insolvency Act 2003) [BUIDL],D3,PARTIAL,no,Pt XVIII not in force,"The Model Law was enacted as Insolvency Act 2003 Part XVIII but never brought into force (Net International Property line; uniform practitioner confirmation through 2026); in-force Part XIX orders-in-aid are designation-gated (US designated; 24 jurisdictions added effective 2024-09-18, 33 total); common-law recognition survives without common-law assistance. Outbound coordination is real but asymmetric (US recognized the 3AC BVI liquidation under Chapter 15)."
J5,BVI fund (Insolvency Act 2003) [BUIDL],D4,PARTIAL,no,SIBA recognition; FSC s.162,"A product-specific regulatory layer exists (SIBA fund recognition; mandatory functionaries) and the FSC has statutory standing to seek liquidation of a regulated person (Insolvency Act s.162), but the FSC must apply to COURT for an administrator (FSCA s.39, verified against the Cayman contrast); holder-level protections are structural and contractual, and the regime's own prescribed warning states professional funds are not subject to FSC supervision."
J5,BVI fund (Insolvency Act 2003) [BUIDL],D5,FAIL,no,no constraint found,"Full-text search of the consolidated Insolvency Act, SIBA, and Mutual Funds Regulations found no statutory or regulatory prohibition or quantitative limit on re-pledging fund assets; the custody requirement is structural and FSC-waivable; any constraint sits in the non-public BNY Mellon custody agreement and cannot be verified."
J5,BVI fund (Insolvency Act 2003) [BUIDL],D6,PARTIAL,no,s.186(5) sanction; Fairfield,"Liquidation default is money dividends through the s.207 waterfall with court sanction for significant liquidator actions (s.186(5); evidenced by the sanctioned 3AC US$100M interim distribution); suspension and gating powers are constitutional-document-based, upheld with NAV-certificate finality in Fairfield Sentry: disclosed and bounded."
J5,BVI fund (Insolvency Act 2003) [BUIDL],D7,PARTIAL,no,3AC; Fairfield arc,"Directly comparable precedents exist but recovery is slow and litigated: Three Arrows (liquidation 2022-06-27; first court-sanctioned interim distribution, up to US$100M against claims above US$3B, only on 2024-03-28; still running) and Fairfield Sentry's decade-plus clawback arc to the Privy Council."
J6,Cayman fund (CIMA / Companies Act) [USYC fund],D1,PARTIAL,no,CIMA Seg. Rule 5.2/5.5,"Fund-vs-manager segregation rests on corporate separateness plus CIMA's binding Segregation of Assets Rule (5.2, 5.5), untested in a service-provider insolvency and carrying a disclosed-consent reuse carve-out (5.6.5); the regime's strong statutory partitioning (Part 14 SPC segregation) does not apply because the fund is not an SPC (Companies Act s.215 naming inference; register confirmation reCAPTCHA-blocked, flagged)."
J6,Cayman fund (CIMA / Companies Act) [USYC fund],D2,PARTIAL,no,s.37(7)/49(g); Primeo,"Waterfall fixed by statute (Companies Act s.37(7)(b), s.49(g)) and settled apex authority (Pearson v Primeo [2017] UKPC 19: redemption effective on surrender; redemption creditors deferred behind ordinary creditors, ahead of members), but locating a holder requires exactly the multi-step characterization the rubric's partial prong names, and the redemption window is clawback-exposed (SEB v Conway [2019] UKPC 36)."
J6,Cayman fund (CIMA / Companies Act) [USYC fund],D3,PARTIAL,no,Pt 17 inbound; Herald,"Cayman has not adopted the Model Law (verified against the UNCITRAL status list); Part 17 of the Companies Act (ss.240-243) is an in-force, inbound-only, discretionary ancillary-orders regime, with real product-class practice (Herald realised approximately USD 259M from the US BLMIS estate). High partial: statutory assistance plus practice, no recognition regime."
J6,Cayman fund (CIMA / Companies Act) [USYC fund],D4,PARTIAL,no,MFA s.30 controllership,"CIMA holds a DIRECT administrative power to appoint an adviser or a controller who displaces the operator and may terminate the business (Mutual Funds Act s.30(3)(d)-(e), (7), (8)), with no court order required: the statutory layer an undifferentiated offshore basis erased, and one the BVI does not replicate. Under the rubric, controllership is the partial prong's named example; holder-level protections beyond it are structural."
J6,Cayman fund (CIMA / Companies Act) [USYC fund],D5,PARTIAL,no,Rule 5.5 + 5.6.5 carve-out,"A binding regulatory constraint above contract exists (CIMA Rule 5.5: no service provider may use the portfolio to finance its own operations), but Rule 5.6.5 permits transfer and reuse with fund consent on pre-investment disclosure of the maximum permitted level: a disclosure-conditioned constraint, not a hard limit, demoted to partial under the adopted D5 ladder (fund-level consent carve-out)."
J6,Cayman fund (CIMA / Companies Act) [USYC fund],D6,PARTIAL,no,s.91B; articles-based gating,"No statute empowers unilateral conversion: compulsory restructuring requires court-sanctioned compromise with class voting (restructuring-officer gateway s.91B, in force); suspension and gating are articles-based, disclosed and pre-agreed; s.37(7) proviso (ii) can statutorily defeat redemption enforcement where lawful distribution was impossible."
